ID,Road,Latitude,Longitude,X25
I1,A1,40.6570397,-3.601791,1
I2,A1,40.7197046,-3.5775117,2
I3,A1,40.8008767,-3.6159265,3
I4,A1,40.9976689,-3.6412227,1
I5,A1,41.0770016,-3.6032985,2
I6,A1,41.170546,-3.5794161,2
I7,A1,41.194451,-3.5841046,2
I8,A1,41.2222897,-3.5875753,3
I9,A1,41.4561339,-3.6752812,0
I10,A1,41.6403078,-3.7061803,3
I11,A1,41.6593237,-3.7264846,3
I12,A1,41.9964672,-3.7608186,0
I13,A1,42.01026,-3.7535659,2
I14,A1,42.0384658,-3.7547944,2
I15,A1,42.2002818,-3.6961022,1
I16,A1,42.2820195,-3.7062347,2
I17,A1,42.3295004,-3.6513782,0
I18,A1,42.379793,-3.5834535,1
I19,A1,42.4753629,-3.4359803,1
I20,A1,42.590139,-3.2337271,2
I21,A1,42.6566281,-3.0500933,0
I22,A1,42.6876275,-2.9968344,1
I23,A1,42.832489,-2.7553856,0
I24,A1,42.8692875,-2.4815178,2
I25,A1,42.9124809,-2.1795493,2
I26,A1,42.9666755,-2.237131,3
I27,A1,43.1875037,-2.0515452,0
I28,A1,43.3189116,-1.8343901,1
