ID,Road,Latitude,Longitude,X100
I159,A5,40.2979018,-3.9516565,0
I160,A5,40.2205465,-4.0771195,2
I161,A5,40.1702279,-4.1608902,3
I162,A5,40.1266322,-4.2192551,2
I163,A5,40.0988002,-4.3363282,2
I164,A5,40.0349537,-4.4245174,2
I165,A5,40.0202316,-4.5172146,1
I166,A5,39.9962522,-4.6687701,2
I167,A5,40.0039121,-4.7691705,3
I168,A5,39.9801077,-4.8533919,2
I169,A5,39.9069167,-5.2202461,2
I170,A5,39.8883803,-5.4873303,0
I171,A5,39.8634817,-5.6054977,0
I172,A5,39.6995216,-5.6916931,0
I173,A5,39.5858253,-5.8347729,1
I174,A5,39.124783,-5.9596765,1
I175,A5,39.035969,-6.067673,3
I176,A5,39.0055614,-6.0906756,0
I177,A5,38.9894614,-6.1247908,3
I178,A5,38.9504069,-6.2195263,2
I179,A5,38.943281,-6.3430796,2
I180,A5,38.9326158,-6.3665972,0
I181,A5,38.9086245,-6.3816359,0
I182,A5,38.8687736,-6.4960436,2
I183,A5,38.8681388,-6.8381218,1
I184,A5,38.8621575,-6.751068,0
I185,A5,38.8440769,-6.674507,0
I186,A5,38.906562,-6.9361066,2
I187,A5,38.9085824,-6.9950937,0
