ID,Road,Latitude,Longitude,X88
I358,A66,37.4720705,-6.051832,3
I359,A66,37.7896559,-6.1973986,1
I360,A66,38.0128729,-6.2276132,0
I361,A66,38.20737,-6.288038,0
I362,A66,38.5679703,-6.3621957,2
I363,A66,38.881885,-6.3690622,1
I364,A66,39.0985847,-6.2839182,2
I365,A66,39.414404,-6.4006479,3
I366,A66,39.8416638,-6.3538413,3
I367,A66,40.0627251,-6.1197009,1
I368,A66,40.3939847,-5.7869062,1
I369,A66,40.8803881,-5.6679987,2
I370,A66,41.0012184,-5.6767022,3
I371,A66,41.2918722,-5.7012498,0
I372,A66,41.5049081,-5.7138928,2
I373,A66,41.6561711,-5.7952603,0
I374,A66,42.3231175,-5.6082268,1
I375,A66,42.6230168,-5.7418283,2
I376,A66,42.8288178,-5.8743509,3
I377,A66,43.1192002,-5.8159861,2
I378,A66,43.2078492,-5.7871469,0
I379,A66,43.3367424,-5.8699307,2
I380,A66,43.47926,-5.7892498,1
