ID,Road,Latitude,Longitude,X5
I358,A66,37.4720705,-6.051832,2
I359,A66,37.7896559,-6.1973986,0
I360,A66,38.0128729,-6.2276132,2
I361,A66,38.20737,-6.288038,2
I362,A66,38.5679703,-6.3621957,3
I363,A66,38.881885,-6.3690622,2
I364,A66,39.0985847,-6.2839182,0
I365,A66,39.414404,-6.4006479,0
I366,A66,39.8416638,-6.3538413,1
I367,A66,40.0627251,-6.1197009,0
I368,A66,40.3939847,-5.7869062,3
I369,A66,40.8803881,-5.6679987,0
I370,A66,41.0012184,-5.6767022,0
I371,A66,41.2918722,-5.7012498,3
I372,A66,41.5049081,-5.7138928,1
I373,A66,41.6561711,-5.7952603,3
I374,A66,42.3231175,-5.6082268,0
I375,A66,42.6230168,-5.7418283,2
I376,A66,42.8288178,-5.8743509,0
I377,A66,43.1192002,-5.8159861,3
I378,A66,43.2078492,-5.7871469,0
I379,A66,43.3367424,-5.8699307,2
I380,A66,43.47926,-5.7892498,2
