ID,Road,Latitude,Longitude,X51
I96,A4,40.2718883,-3.6906584,2
I97,A4,40.0767396,-3.6397715,2
I98,A4,39.9769208,-3.5656995,3
I99,A4,39.9124755,-3.4763595,1
I100,A4,39.8260576,-3.4846556,2
I101,A4,39.7328203,-3.4905565,2
I102,A4,39.6645356,-3.5119069,3
I103,A4,39.6027968,-3.5250819,2
I104,A4,39.4967408,-3.5275495,1
I105,A4,39.4135697,-3.5109199,1
I106,A4,39.358858,-3.4897841,3
I107,A4,39.2810036,-3.4512675,3
I108,A4,39.1965794,-3.4043177,2
I109,A4,39.1656254,-3.3925373,2
I110,A4,39.0959001,-3.3767659,1
I111,A4,38.9456915,-3.3855717,1
I112,A4,38.821721,-3.3956355,2
I113,A4,38.6597435,-3.4572403,1
I114,A4,38.5370544,-3.4932893,2
I115,A4,38.4989103,-3.5029129,0
I116,A4,38.4070434,-3.4997372,3
I117,A4,38.3731882,-3.5128693,3
I118,A4,38.3315906,-3.5428456,2
I119,A4,38.2376028,-3.6299423,1
I120,A4,38.1803106,-3.6951307,1
I121,A4,38.132105,-3.7498264,0
I122,A4,38.1080493,-3.7871841,3
I123,A4,38.0488641,-3.9087204,2
I124,A4,38.0381671,-4.033883,3
I125,A4,38.0371531,-4.1460208,0
I126,A4,38.0070813,-4.2235474,1
I127,A4,37.9868574,-4.2930702,3
I128,A4,38.0097864,-4.3663696,1
I129,A4,37.9679891,-4.4614453,3
I130,A4,37.9523907,-4.5225353,1
I131,A4,37.9370259,-4.5695276,0
I132,A4,37.9079288,-4.6044392,3
I133,A4,37.9014105,-4.6574611,3
I134,A4,37.8945867,-4.7329921,2
I135,A4,37.7941216,-4.8125143,3
I136,A4,37.7350904,-4.8517818,3
I137,A4,37.7118041,-4.9049969,0
I138,A4,37.6832465,-4.9257035,3
I139,A4,37.5962665,-4.9762792,2
I140,A4,37.5495656,-5.0423259,0
I141,A4,37.5239984,-5.1334913,0
I142,A4,37.5239304,-5.2080568,2
I143,A4,37.5026547,-5.4504427,0
I144,A4,37.4803684,-5.5959471,0
I145,A4,37.4719561,-5.6871422,0
I146,A4,37.4536808,-5.7586821,3
I147,A4,37.4326749,-5.8152445,0
I148,A4,37.4236777,-5.906268,1
I149,A4,37.3259353,-5.9853611,1
I150,A4,37.267762,-5.9693964,1
I151,A4,37.2389441,-5.9108599,3
I152,A4,37.1220582,-5.9285196,1
I153,A4,36.8610353,-5.9949526,3
I154,A4,36.819512,-6.0354217,1
I155,A4,36.6741706,-6.0882089,0
I156,A4,36.5848848,-6.0907839,0
I157,A4,36.6580223,-6.1726776,2
I158,A4,36.647418,-6.1761108,3
